year,portfolio,rebalance_frequency,liquidity_filter,annual_return,annual_sharpe,max_drawdown_year,average_turnover_year,n_days
2014,dedup_3f_equal_weight_idio,daily,none,0.052613554634988624,0.5491281228881711,-0.09370576731607538,0.2609932609985589,229
2015,dedup_3f_equal_weight_idio,daily,none,0.01875256926943014,0.22163263628883173,-0.10263419487381187,0.2503306878306878,252
2016,dedup_3f_equal_weight_idio,daily,none,0.35591092580200834,2.1221135396439723,-0.09464927679383717,0.25218321455566356,252
2017,dedup_3f_equal_weight_idio,daily,none,0.1846920360164901,2.069466602606544,-0.0657650149240534,0.274087324172697,251
2018,dedup_3f_equal_weight_idio,daily,none,0.009045875886017463,0.1346135587489224,-0.11358635692956964,0.26648670623627935,251
2019,dedup_3f_equal_weight_idio,daily,none,0.24123340650904712,1.8200009310630123,-0.11885230419153203,0.25468253968253973,252
2020,dedup_3f_equal_weight_idio,daily,none,0.6368387430036346,1.4679342539254245,-0.3162503270596021,0.29284817484305975,253
2021,dedup_3f_equal_weight_idio,daily,none,-0.03832938465077251,-0.12491952499352316,-0.17700896021294565,0.27116402116402116,252
2022,dedup_3f_equal_weight_idio,daily,none,-0.06460892186146472,-0.04095028254713024,-0.2161024225262932,0.22982579485977658,251
2023,dedup_3f_equal_weight_idio,daily,none,0.4588313274566327,2.2631589009220474,-0.10180372457985543,0.2524811463046758,250
2024,dedup_3f_equal_weight_idio,daily,none,0.014944379854484602,0.1723319790627071,-0.1024295024581251,0.25801282051282054,252
2014,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.07195433482970914,0.7479657127542346,-0.09510871712810709,0.2728377740422584,229
2015,dedup_3f_equal_weight_idio,daily,adv20_filtered,-0.038927609738924174,-0.28665416198843185,-0.13556770861464296,0.25978220745662606,252
2016,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.29854710833647546,1.9174168434264331,-0.10793028438815533,0.2574268431826572,252
2017,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.19244560390337972,2.1075673785770954,-0.05792660519670201,0.27580586743933355,251
2018,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.011179173669478626,0.15261389590876503,-0.10416341792040773,0.26969294539015654,251
2019,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.21552663307635855,1.6924733466009316,-0.11144157099135132,0.2595238095238095,252
2020,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.6631871627064521,1.4862819941158005,-0.3268185855204452,0.30083061236180336,253
2021,dedup_3f_equal_weight_idio,daily,adv20_filtered,-0.03872974094912107,-0.10604755378044088,-0.2085441576839736,0.2750172532781228,252
2022,dedup_3f_equal_weight_idio,daily,adv20_filtered,-0.010533681937456851,0.13484555123077815,-0.21475976156770027,0.23436688030486746,251
2023,dedup_3f_equal_weight_idio,daily,adv20_filtered,0.3908504511967641,2.032904110667413,-0.10302786380409279,0.2643274745605921,250
2024,dedup_3f_equal_weight_idio,daily,adv20_filtered,-0.006330866979361138,0.0433544823893184,-0.09985083446157528,0.26367781155015196,252
2014,dedup_3f_equal_weight_idio,weekly_5d,none,0.06605796352431526,0.6759192372050248,-0.08878440165974522,0.11905569212511655,227
2015,dedup_3f_equal_weight_idio,weekly_5d,none,-0.03167209712910091,-0.23579177817524521,-0.1491046919743544,0.11243386243386241,252
2016,dedup_3f_equal_weight_idio,weekly_5d,none,0.2891262141979334,1.7442472431325882,-0.11204690449393195,0.11232588273404599,252
2017,dedup_3f_equal_weight_idio,weekly_5d,none,0.18487845251595547,1.9915621550565856,-0.058248969175043075,0.12301813155541101,251
2018,dedup_3f_equal_weight_idio,weekly_5d,none,0.001045786946947569,0.06984164661322692,-0.10904786955298729,0.1202097731522888,251
2019,dedup_3f_equal_weight_idio,weekly_5d,none,0.22622618290046415,1.6914935701180691,-0.1255043598209794,0.11626984126984126,252
2020,dedup_3f_equal_weight_idio,weekly_5d,none,0.4517421169467253,1.1684789057396872,-0.3216958791805645,0.12805704099821746,253
2021,dedup_3f_equal_weight_idio,weekly_5d,none,0.006190150784149084,0.12343549273790433,-0.15310955268943327,0.12138188608776843,252
2022,dedup_3f_equal_weight_idio,weekly_5d,none,-0.0558870744093628,-0.015469609602307642,-0.20267936079590188,0.10663229435200375,251
2023,dedup_3f_equal_weight_idio,weekly_5d,none,0.39961510386496935,1.9638886146026444,-0.12056962848897956,0.11541930618401207,250
2024,dedup_3f_equal_weight_idio,weekly_5d,none,0.016196297907538515,0.18087403887353837,-0.09764115633725012,0.11744505494505494,252
2014,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.04311065464417063,0.4712730957963484,-0.10064492155970539,0.12332949486660225,227
2015,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,-0.0839282365414522,-0.727966705087054,-0.1756457837041442,0.11415651531930603,252
2016,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.23396371453925258,1.5103111336679973,-0.13044887505247338,0.11662513842746403,252
2017,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.16441402227027235,1.7577288905961004,-0.06456528237856696,0.1228721477725462,251
2018,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,-0.012387793956162962,-0.04516014054361405,-0.11406589944576562,0.12235502434705621,251
2019,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.15773114532094068,1.2716124215544147,-0.11382752460860568,0.11869488536155202,252
2020,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.42732506964425543,1.1050372704146636,-0.3444233321328577,0.13171602604494856,253
2021,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.034728514534011934,0.2753206654320277,-0.17986240751628735,0.12413733609385783,252
2022,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,-0.0380731936977835,0.047632648839876446,-0.20919293959957797,0.10999480339511519,251
2023,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,0.3349324108630791,1.7296408631422513,-0.12813921299922526,0.11966327474560592,250
2024,dedup_3f_equal_weight_idio,weekly_5d,adv20_filtered,-0.0009463250711284621,0.07300540939577413,-0.0908423080885401,0.1208206686930091,252
2014,dedup_3f_fm_weighted_idio,daily,none,0.01489835311601162,0.19652937813939728,-0.11028748945002842,0.21170106806815292,229
2015,dedup_3f_fm_weighted_idio,daily,none,-0.022225171595616433,-0.1403277773723628,-0.14646022891103327,0.20403439153439148,252
2016,dedup_3f_fm_weighted_idio,daily,none,0.30915521012134306,1.8369879207000461,-0.09998064550903818,0.1933224678760393,252
2017,dedup_3f_fm_weighted_idio,daily,none,0.1870016584603147,2.0644144658575816,-0.07077017195836943,0.22847385966338726,251
2018,dedup_3f_fm_weighted_idio,daily,none,-0.0005104539079705539,0.05680457232310393,-0.12200602916475278,0.22236767216846892,251
2019,dedup_3f_fm_weighted_idio,daily,none,0.21578633081707022,1.6245356162416982,-0.1308761399793924,0.20880952380952383,252
2020,dedup_3f_fm_weighted_idio,daily,none,0.6988404520429943,1.646611555674746,-0.2871028836204671,0.2454328450747888,253
2021,dedup_3f_fm_weighted_idio,daily,none,-0.025783585924497254,-0.052219617141360586,-0.16296782599475512,0.22362278244631184,252
2022,dedup_3f_fm_weighted_idio,daily,none,-0.09266369734166358,-0.1238718229076208,-0.220119022484077,0.18561049917975161,251
2023,dedup_3f_fm_weighted_idio,daily,none,0.5253943664684586,2.391338585565009,-0.10100491500092756,0.20446757164404228,250
2024,dedup_3f_fm_weighted_idio,daily,none,0.04428761824569882,0.3547202335698873,-0.08307499764783732,0.21672771672771673,252
2014,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.05688741422130161,0.5901271407790123,-0.11708506691608633,0.22272372304800728,229
2015,dedup_3f_fm_weighted_idio,daily,adv20_filtered,-0.09714067222433431,-0.8222659609935697,-0.18090669696667183,0.2097637504614249,252
2016,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.23165443629363947,1.4607013106408115,-0.11612642036595922,0.1991341991341991,252
2017,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.1778171383470475,1.9780498771832224,-0.06817931394099008,0.22944585295182907,251
2018,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.013041469302679243,0.16865099160226915,-0.10281199850054634,0.22922854038391888,251
2019,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.21142450959233483,1.6381938610066145,-0.11615205856360344,0.21472663139329806,252
2020,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.6835927108496536,1.594919653573952,-0.2836610182410181,0.2499035725878826,253
2021,dedup_3f_fm_weighted_idio,daily,adv20_filtered,-0.024417005820135396,-0.030438793533025497,-0.18177704242240167,0.2286059351276743,252
2022,dedup_3f_fm_weighted_idio,daily,adv20_filtered,-0.0532490912149749,0.009273481791399684,-0.22604666194225298,0.19097522951671575,251
2023,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.46883876594495466,2.2232780799114313,-0.10178688594587981,0.21435337650323774,250
2024,dedup_3f_fm_weighted_idio,daily,adv20_filtered,0.021617838806316625,0.2122747634566173,-0.09129947218792678,0.22129348193177978,252
2014,dedup_3f_fm_weighted_idio,weekly_5d,none,0.018652903110708774,0.23198608935021317,-0.11309095874642028,0.09813405950665421,227
2015,dedup_3f_fm_weighted_idio,weekly_5d,none,-0.032048484698116275,-0.2375893670945645,-0.1663511680600004,0.09217923280423279,252
2016,dedup_3f_fm_weighted_idio,weekly_5d,none,0.2781720285633549,1.6315570840745417,-0.10326909096975856,0.08847249217147175,252
2017,dedup_3f_fm_weighted_idio,weekly_5d,none,0.18002372128443267,1.9831781416407677,-0.06113930369874909,0.10342304252378241,251
2018,dedup_3f_fm_weighted_idio,weekly_5d,none,0.020303831607758394,0.22365860123093317,-0.12288453112322772,0.10131392796162289,251
2019,dedup_3f_fm_weighted_idio,weekly_5d,none,0.21137238426057947,1.5764578314513078,-0.12889683705035615,0.0934920634920635,252
2020,dedup_3f_fm_weighted_idio,weekly_5d,none,0.5020069976270753,1.3221344690239778,-0.28956982032413325,0.10468108191893358,253
2021,dedup_3f_fm_weighted_idio,weekly_5d,none,-0.01652930889228499,-0.001846303622257695,-0.1539092441247365,0.09741674447556802,252
2022,dedup_3f_fm_weighted_idio,weekly_5d,none,-0.11167003938255571,-0.1910079459020467,-0.21456004655475636,0.0846808843059136,251
2023,dedup_3f_fm_weighted_idio,weekly_5d,none,0.5013229887015227,2.27248502217685,-0.11422785348469333,0.09286726998491704,250
2024,dedup_3f_fm_weighted_idio,weekly_5d,none,0.04730752349803358,0.3820243369197864,-0.07854408359558629,0.09577228327228328,252
2014,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.030531150305651122,0.34776291027028516,-0.11959071560071899,0.1046930770825888,227
2015,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,-0.11050704640565556,-0.9888337692712675,-0.19335160090010506,0.0947766703580657,252
2016,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.23518424832066565,1.4779141005727763,-0.11554148182464252,0.09280932246048525,252
2017,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.147441838969542,1.6216480915938494,-0.07526352780235424,0.10403839188699748,251
2018,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.012863913959430873,0.16621686166916394,-0.11184128498419477,0.10466819590325566,251
2019,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.1784643945235307,1.3971080456377785,-0.11218040260092033,0.09744268077601412,252
2020,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.4710819735872649,1.2291205152865572,-0.31144310455119284,0.10671745813522752,253
2021,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,-0.019136216040480325,-0.005252967651458104,-0.1687131905820809,0.09972394755003451,252
2022,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,-0.11574805194314741,-0.19597739204764622,-0.22309188671293945,0.08929499393729429,251
2023,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.4093674844218598,1.98040741425465,-0.11756709660986853,0.09757261794634597,250
2024,dedup_3f_fm_weighted_idio,weekly_5d,adv20_filtered,0.024240504370191873,0.23165059636281474,-0.08271354956590904,0.0992063492063492,252
