date,variant,rolling_12m_drawdown
2014-03-28,V1_raw_fm_weekly_adv20,0.0
2014-03-31,V1_raw_fm_weekly_adv20,0.0
2014-04-01,V1_raw_fm_weekly_adv20,0.0
2014-04-02,V1_raw_fm_weekly_adv20,-0.001365438122884477
2014-04-03,V1_raw_fm_weekly_adv20,-0.026832193907423862
2014-04-04,V1_raw_fm_weekly_adv20,-0.03964634015491941
2014-04-07,V1_raw_fm_weekly_adv20,-0.05163761598724059
2014-04-08,V1_raw_fm_weekly_adv20,-0.050049223678240606
2014-04-09,V1_raw_fm_weekly_adv20,-0.03119732728921909
2014-04-10,V1_raw_fm_weekly_adv20,-0.055205118474355275
2014-04-11,V1_raw_fm_weekly_adv20,-0.06319573070751461
2014-04-14,V1_raw_fm_weekly_adv20,-0.06823030796498897
2014-04-15,V1_raw_fm_weekly_adv20,-0.06893073954545936
2014-04-16,V1_raw_fm_weekly_adv20,-0.05595373523341507
2014-04-17,V1_raw_fm_weekly_adv20,-0.054131946896152194
2014-04-21,V1_raw_fm_weekly_adv20,-0.04853839416670713
2014-04-22,V1_raw_fm_weekly_adv20,-0.03151397120090216
2014-04-23,V1_raw_fm_weekly_adv20,-0.04329163996627661
2014-04-24,V1_raw_fm_weekly_adv20,-0.05289252167520064
2014-04-25,V1_raw_fm_weekly_adv20,-0.06744276970397556
2014-04-28,V1_raw_fm_weekly_adv20,-0.08573431367049922
2014-04-29,V1_raw_fm_weekly_adv20,-0.07015056568666345
2014-04-30,V1_raw_fm_weekly_adv20,-0.06816480480720355
2014-05-01,V1_raw_fm_weekly_adv20,-0.06017122124549579
2014-05-02,V1_raw_fm_weekly_adv20,-0.05992523431298069
2014-05-05,V1_raw_fm_weekly_adv20,-0.05821943028374221
2014-05-06,V1_raw_fm_weekly_adv20,-0.07005980086286778
2014-05-07,V1_raw_fm_weekly_adv20,-0.08737127647227338
2014-05-08,V1_raw_fm_weekly_adv20,-0.09888980236853762
2014-05-09,V1_raw_fm_weekly_adv20,-0.09348792654571403
2014-05-12,V1_raw_fm_weekly_adv20,-0.07514413819974097
2014-05-13,V1_raw_fm_weekly_adv20,-0.07704166819239433
2014-05-14,V1_raw_fm_weekly_adv20,-0.07891686507937135
2014-05-15,V1_raw_fm_weekly_adv20,-0.07884016269771954
2014-05-16,V1_raw_fm_weekly_adv20,-0.08740392083346182
2014-05-19,V1_raw_fm_weekly_adv20,-0.08511001835172272
2014-05-20,V1_raw_fm_weekly_adv20,-0.09371219689914834
2014-05-21,V1_raw_fm_weekly_adv20,-0.09457407528785133
2014-05-22,V1_raw_fm_weekly_adv20,-0.08593303250168094
2014-05-23,V1_raw_fm_weekly_adv20,-0.08181098093791317
2014-05-27,V1_raw_fm_weekly_adv20,-0.06769398721022224
2014-05-28,V1_raw_fm_weekly_adv20,-0.07181434981955492
2014-05-29,V1_raw_fm_weekly_adv20,-0.06878845415204227
2014-05-30,V1_raw_fm_weekly_adv20,-0.07756580716023576
2014-06-02,V1_raw_fm_weekly_adv20,-0.08345985813391299
2014-06-03,V1_raw_fm_weekly_adv20,-0.0828392804428617
2014-06-04,V1_raw_fm_weekly_adv20,-0.0792430300895014
2014-06-05,V1_raw_fm_weekly_adv20,-0.06870488851186674
2014-06-06,V1_raw_fm_weekly_adv20,-0.06725305946839755
2014-06-09,V1_raw_fm_weekly_adv20,-0.06719043060765917
2014-06-10,V1_raw_fm_weekly_adv20,-0.06889507273040019
2014-06-11,V1_raw_fm_weekly_adv20,-0.059232867468010264
2014-06-12,V1_raw_fm_weekly_adv20,-0.058848799998663326
2014-06-13,V1_raw_fm_weekly_adv20,-0.05436305517869888
2014-06-16,V1_raw_fm_weekly_adv20,-0.04578626877588032
2014-06-17,V1_raw_fm_weekly_adv20,-0.03367194358183778
2014-06-18,V1_raw_fm_weekly_adv20,-0.03547426310051072
2014-06-19,V1_raw_fm_weekly_adv20,-0.03744444403548752
2014-06-20,V1_raw_fm_weekly_adv20,-0.03681839346244509
2014-06-23,V1_raw_fm_weekly_adv20,-0.03391284800796335
2014-06-24,V1_raw_fm_weekly_adv20,-0.02911068314552201
2014-06-25,V1_raw_fm_weekly_adv20,-0.03253667356587875
2014-06-26,V1_raw_fm_weekly_adv20,-0.02120283661568878
2014-06-27,V1_raw_fm_weekly_adv20,-0.020915979125952555
2014-06-30,V1_raw_fm_weekly_adv20,-0.017487004120885663
2014-07-01,V1_raw_fm_weekly_adv20,-0.01397398387113713
2014-07-02,V1_raw_fm_weekly_adv20,-0.015512746920207765
2014-07-03,V1_raw_fm_weekly_adv20,-0.015607481409547486
2014-07-07,V1_raw_fm_weekly_adv20,-0.02480452901425878
2014-07-08,V1_raw_fm_weekly_adv20,-0.036091095878523105
2014-07-09,V1_raw_fm_weekly_adv20,-0.039744366399532605
2014-07-10,V1_raw_fm_weekly_adv20,-0.036199147717320135
2014-07-11,V1_raw_fm_weekly_adv20,-0.03285492063159057
2014-07-14,V1_raw_fm_weekly_adv20,-0.03397512620613263
2014-07-15,V1_raw_fm_weekly_adv20,-0.04059407361826417
2014-07-16,V1_raw_fm_weekly_adv20,-0.045453588161726066
2014-07-17,V1_raw_fm_weekly_adv20,-0.04917992977134911
2014-07-18,V1_raw_fm_weekly_adv20,-0.04316001824700377
2014-07-21,V1_raw_fm_weekly_adv20,-0.04102083307302873
2014-07-22,V1_raw_fm_weekly_adv20,-0.04121714332240478
2014-07-23,V1_raw_fm_weekly_adv20,-0.03448338831662345
2014-07-24,V1_raw_fm_weekly_adv20,-0.02851300068246354
2014-07-25,V1_raw_fm_weekly_adv20,-0.02914335003778512
