date,production_gross_turnover,turnover_1x,is_rebalance_day,weekday,month,calendar_context,top_delta_names,n_names_changed_gt_1pct_gross
2014-10-17,1.7843968896937743,1.270044798760364,False,Friday,10,earnings-season,ROP:24.97%; FDX:17.61%; SHW:10.30%; INTU:8.39%; HUBB:7.22%,51
2023-04-20,1.7495782117312397,1.2452625986223567,False,Thursday,4,"earnings-season, Thursday",BLDR:10.31%; CPAY:6.97%; ASML:6.64%; LULU:6.17%; MELI:5.33%,52
2023-09-27,1.6764507458756366,1.1932141119920232,False,Wednesday,9,month-end,LULU:70.25%; INTC:11.36%; INTU:8.03%; BX:4.29%; QQQ:4.04%,31
2022-08-30,1.6180819210807675,1.1516700907215085,False,Tuesday,8,month-end,ALB:36.80%; ANET:17.77%; AMP:17.23%; HLT:13.91%; QQQ:10.65%,21
2023-04-27,1.5828522998470618,1.126595401638272,False,Thursday,4,"earnings-season, Thursday, month-end",PPG:13.41%; TYL:8.53%; TEL:7.70%; SHW:7.25%; CPAY:6.93%,41
2024-01-30,1.5755979317333733,1.1214321038628179,False,Tuesday,1,"earnings-season, month-end",ASML:17.68%; DHI:13.27%; MELI:10.76%; OMC:10.08%; COO:9.92%,38
2023-08-30,1.5642898789856197,1.113383595339102,True,Wednesday,8,month-end,INTU:70.25%; IR:35.06%; DELL:11.01%; CTSH:8.06%; ETN:7.14%,8
2023-10-04,1.5637627132589973,1.1130083850408503,False,Wednesday,10,month-start,CTAS:70.25%; META:9.91%; WELL:7.77%; GOOG:7.59%; HPE:7.46%,18
2022-09-28,1.5160477578319143,1.0790472571587852,False,Wednesday,9,month-end,ALB:37.63%; PTC:25.35%; QQQ:19.84%; TEL:7.21%; MAR:6.94%,20
2022-08-02,1.514065048087267,1.077636063150779,False,Tuesday,8,month-start,CDNS:17.58%; GDDY:9.53%; SNPS:7.70%; LEN:7.31%; MRVL:6.98%,44
