window_id,split,start_date,end_date,n_days,sharpe,annual_return,annual_vol,max_drawdown,hit_rate
2014_2018_to_2019_2019,train,2014-01-02,2018-12-31,1258,0.5085176657356243,0.04413875691463032,0.09353579133827089,0.21335312728747313,0.4793322734499205
2014_2018_to_2019_2019,test,2019-01-02,2019-12-31,252,1.0538195526451695,0.1091299704750619,0.10335892444076002,0.10336458300123874,0.5476190476190477
2015_2019_to_2020_2020,train,2015-01-02,2019-12-31,1258,0.6904967562359347,0.06550144750574738,0.09897599869446555,0.21335312728747202,0.5174880763116058
2015_2019_to_2020_2020,test,2020-01-02,2020-12-31,253,2.1065837345095644,0.5674994973108989,0.22554918346048825,0.1621315069144923,0.5652173913043478
2016_2020_to_2021_2021,train,2016-01-04,2020-12-31,1259,1.3200282500522347,0.18441991039895833,0.1351427174599965,0.16213150691449218,0.5289912629070691
2016_2020_to_2021_2021,test,2021-01-04,2021-12-31,252,0.11598518712934258,0.005107581477938439,0.17312613267435986,0.15235044982093493,0.4880952380952381
2017_2021_to_2022_2022,train,2017-01-03,2021-12-31,1259,1.0590730961161512,0.15640102446629456,0.14746692179784607,0.16213150691449218,0.5138999205718825
2017_2021_to_2022_2022,test,2022-01-03,2022-12-30,251,1.142694078047308,0.20423255362283088,0.17627108300115873,0.07453829501551845,0.50199203187251
2018_2022_to_2023_2023,train,2018-01-02,2022-12-30,1259,1.0787590834703882,0.17614101157287942,0.16265705501386019,0.20182236647895946,0.5154884829229547
2018_2022_to_2023_2023,test,2023-01-03,2023-12-29,250,1.4544582895572262,0.2103505982234477,0.13783542332856824,0.14465150741220778,0.556
2019_2023_to_2024_2024,train,2019-01-02,2023-12-29,1258,1.1943448648533537,0.20584945854448145,0.16865036290901048,0.20182236647895968,0.5317965023847376
2019_2023_to_2024_2024,test,2024-01-02,2024-12-31,252,0.0453623817405167,-0.0033413797354974184,0.13901534870157617,0.09707935585994132,0.49603174603174605
