window_id,split,point_id,selected,start_date,end_date,n_days,sharpe,annual_return,annual_vol,max_drawdown,avg_turnover,params,output_dir
2014_2018_to_2019_2019,train,point_00,False,2014-01-02,2018-12-31,1258,0.4647141871914525,0.03992826379335601,0.09368687495749073,0.21431470083747728,0.0603203833657104,"{'turnover_penalty': 8.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 0.0}",results\v4_walk_forward_selection_full\2014_2018_to_2019_2019\point_00\train
2014_2018_to_2019_2019,train,point_01,False,2014-01-02,2018-12-31,1258,0.5168952042765029,0.044634371844696874,0.09280694928777218,0.20666298683620665,0.056639657193835145,"{'turnover_penalty': 20.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2014_2018_to_2019_2019\point_01\train
2014_2018_to_2019_2019,train,point_02,False,2014-01-02,2018-12-31,1258,0.5174189177045535,0.04499363667164502,0.0935026082440836,0.20798838594178615,0.05286168521462639,"{'turnover_penalty': 40.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 5.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2014_2018_to_2019_2019\point_02\train
2014_2018_to_2019_2019,test,point_02,True,2019-01-02,2019-12-31,252,1.1221933862966358,0.11728706171282877,0.10361748140404166,0.1011060269972055,1.4774405794901675e-18,"{'turnover_penalty': 40.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 5.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2014_2018_to_2019_2019\point_02\test
2015_2019_to_2020_2020,train,point_00,False,2015-01-02,2019-12-31,1258,0.6855488930689413,0.06526402672225262,0.09943101098842407,0.21413698709438445,0.055326422920546875,"{'turnover_penalty': 8.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 0.0}",results\v4_walk_forward_selection_full\2015_2019_to_2020_2020\point_00\train
2015_2019_to_2020_2020,train,point_01,False,2015-01-02,2019-12-31,1258,0.7357889928587035,0.06995201682173735,0.09848394581484202,0.20756564689032497,0.05246422893481717,"{'turnover_penalty': 20.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2015_2019_to_2020_2020\point_01\train
2015_2019_to_2020_2020,train,point_02,False,2015-01-02,2019-12-31,1258,0.7354772033932421,0.07042218185981564,0.09922204370200637,0.20897017054692435,0.05246422893481717,"{'turnover_penalty': 40.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 5.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2015_2019_to_2020_2020\point_02\train
2015_2019_to_2020_2020,test,point_01,True,2020-01-02,2020-12-31,253,2.0705307662379266,0.5593361715320906,0.22712156533169772,0.1644386863250361,0.000723362537962873,"{'turnover_penalty': 20.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2015_2019_to_2020_2020\point_01\test
2016_2020_to_2021_2021,train,point_00,False,2016-01-04,2020-12-31,1259,1.2928935153504726,0.18188431646166192,0.1364578025001119,0.16415830119213626,0.044000176747648896,"{'turnover_penalty': 8.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 0.0}",results\v4_walk_forward_selection_full\2016_2020_to_2021_2021\point_00\train
2016_2020_to_2021_2021,train,point_01,False,2016-01-04,2020-12-31,1259,1.3285613318416496,0.185571390115703,0.13499139858988263,0.16145699082295917,0.03980837168189028,"{'turnover_penalty': 20.0, 'no_trade_band_bps': 300.0, 'lambda_beta': 10.0, 'sector_net_cap': 0.1, 'protected_regime_alpha_bps': 1.0}",results\v4_walk_forward_selection_full\2016_2020_to_2021_2021\point_01\train
